Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
09:00,13:30,21:25,14:00,13:45,14:20,09:30
09:10,14:00,21:45,14:30,13:50,21:55,09:04
09:15,14:30,22:00,13:45,13:48,13:30,09:45
09:25,13:45,13:55,14:15,21:45,14:01,22:57
09:30,14:15,14:20,13:30,21:50,14:30,22:01
16:00,13:31,21:55,21:00,21:25,13:45,20:03
16:10,21:00,13:30,21:25,21:47,14:04,21:00
16:15,21:05,14:00,21:45,22:00,14:32,22:00
16:25,14:01,14:30,22:00,13:55,13:47,23:00
16:30,14:31,13:45,13:55,14:20,13:55,00:00
20:00,13:46,14:15,14:20,21:55,14:00,01:00
20:05,13:55,13:32,21:55,13:30,14:25,02:00
20:15,14:02,21:00,13:32,14:00,21:20,03:00
20:25,14:20,21:05,14:25,14:30,21:25,04:00
20:30,21:25,14:01,14:11,13:47,21:45,05:00
20:40,21:45,14:31,13:46,14:25,22:00,06:00
20:50,22:00,13:45,13:50,14:05,22:05,07:00
21:00,13:56,13:56,13:48,21:08,14:35,08:00
21:05,14:27,22:02,21:46,21:30,13:50,09:00
21:15,21:55,22:45,21:50,14:32,22:20,10:00
